TF	SWI/SNF	Mediator	POLII	TFIIF	TFIID	BRD4	TFIIH	TFIIB	TFIIE
ZNF133	1	1	1	0	0	0	0	0	0
ZNF14	1	1	1	0	0	0	0	0	0
ZNF140	1	1	1	0	0	0	0	0	0
ZNF154	1	1	1	0	0	0	0	0	0
ZNF155	1	1	1	0	1	0	0	0	0
ZNF157	1	1	1	0	0	0	0	0	0
ZNF160	1	1	1	0	1	0	0	0	0
ZNF17	1	1	1	0	0	0	0	0	0
ZNF175	1	1	1	0	1	0	0	0	0
ZNF177	1	1	1	0	0	0	0	0	0
ZNF182	1	1	1	0	0	0	0	0	0
ZNF184	1	1	1	0	0	0	0	0	0
ZNF195	1	1	1	0	1	0	0	0	0
ZNF2	1	1	1	0	0	0	0	0	0
ZNF205	1	1	1	0	0	0	0	0	0
ZNF208	1	1	1	0	0	0	0	0	0
ZNF214	1	1	1	0	1	0	0	0	0
ZNF221	1	1	1	0	1	0	0	0	0
ZNF225	1	1	1	0	1	0	0	0	0
ZNF226	1	1	1	0	1	0	0	0	0
ZNF227	1	1	1	0	0	0	0	0	0
ZNF23	1	1	1	0	1	0	0	0	0
ZNF230	1	1	1	0	1	0	0	0	0
ZNF233	1	1	1	0	0	0	0	0	0
ZNF234	1	1	1	0	1	0	0	0	0
